,Item,4Cluster
11,TC 70S-6 223,Large
12,TE 7018 03,Large
13,TC 70S-6 063,Large
14,CSF-71T 163,Large
15,TE 7018H4R 02,Large
16,TS308L-SI 093,Large
17,TE 6022 02,Large
18,TE 7018 01,Large
19,TCU SB 09,Large
20,TF309L-16 02P,Large
21,WAG 70S-6 093,Large
22,TT 316/316L 06,Large
23,TS 308L 093,Large
24,TS316L-SI 093,Large
25,TT 316/316L 05,Large
26,TE 6011 03,Large
27,TCC NSSW SF-1A 17,Large
28,TTU 2% TUNGSTEN 06,Large
29,TA 4043 07,Large
30,TC 70S-6 02,Large
31,TE 7024 048,Large
32,TE 7024-1 048,Large
33,TS 309L 173,Large
34,TCF 71T-1 163M,Large
35,TT 308/308L 04,Medium
36,WA H800D-TC XL,Medium
37,TE 7018 02HC,Medium
38,TT 70S-2 06,Medium
39,TC 70S-6 223K,Medium
40,TE 7024 03,Medium
41,TW GASLESS WIRE 051,Medium
42,TS 316L 093,Medium
43,TT 308/308L 05,Medium
44,TSF 309L EAGLE 17,Medium
45,TE 7024 02,Medium
46,CSF-71T 23,Medium
47,TE 6010 02,Medium
48,TCU AB-1 26,Medium
49,TCF 71T-1 17M,Medium
50,TE 7014 02,Medium
51,TCC EAGLE-ARC 719 16,Medium
52,TF309L-16 01P,Medium
53,TC 80S-D2 09,Medium
54,TF308L-16 02P,Medium
55,TE 6013 02,Medium
56,TT 70S-2 05,Medium
57,TW GASLESS WIRE 07,Medium
58,TT 308/308L 06,Medium
59,TE 7016 02,Medium
60,TCB EAGLE BW-71T 17,Medium
61,TC 70S-6 224,Medium
62,TT 70S-6 06,Medium
63,TCU LFB 06,Medium
64,TE 7018 02BHC,Medium
65,TN 625 17,Medium
66,TT 316/316L 04,Medium
67,TTU 2% TUNGSTEN 05,Medium
68,TS 309L 093,Medium
69,TF308L-16 01P,Medium
70,TAG 15 06F,Medium
71,TSF 316L EAGLE 17,Medium
72,TCU SB/04,Medium
73,TSF 308L EAGLE 17,Medium
74,TU AL345 02,Medium
75,TC 70S-6 239,Medium
76,TE 7016 03,Medium
77,TAG 40TCF 05,Medium
78,TA 4043 2365,Medium
79,TE 7024 04,Medium
80,TB 4043 05,Medium
81,MOG 70S-6 104,Medium
82,TE 7010A1 02,Medium
83,TC 100S-1 17,Medium
84,TW GASLESS WIRE 04,Medium
85,TS 308L 173,Medium
86,TC 100S-1 175,Medium
87,TT 70S-2 04,Medium
88,TS 308L 08,Medium
89,TN NI-99 02,Medium
90,TCB BW 799 17,Medium
91,TS308L-SI 173,Medium
92,TC 70S-6 229,Small
93,TE 7018 022,Small
94,TCU SB/05,Small
95,TB 5356 05,Small
96,TT 316/316L 07,Small
97,TSF 309L/0 EAGLE 17,Small
98,TE 7024 05,Small
99,TN 625/06,Small
100,WA H800D,Small
101,TE 7018 03HC,Small
102,TF316L-16 01P,Small
103,TS 308L 05,Small
104,TE 6011 01,Small
105,TCB BW 799 24,Small
106,TB 4043 06,Small
107,TCB BW 799 26,Small
108,TCC EAGLE-ARC 719 24,Small
109,TF316L-16 02P,Small
110,TE 6011 022,Small
111,TT 70S-6 05,Small
112,TC 70S-6 093W,Small
113,TS309L-SI 173,Small
114,TCU SB 05,Small
115,CW F7A6,Small
116,TE 7014 03,Small
117,CSF-71T NB 17,Small
118,TE 6013 01,Small
119,TA 5356 07,Small
120,YTE 7018 02,Small
121,TE 6010 03,Small
122,TA 4043 085,Small
123,TT 309/309L 05,Small
124,TN 625/05,Small
125,TS309L-SI 093,Small
126,TN 82/04,Small
127,TCC EAGLE-ARC 719 23,Small
128,TE 7024 038,Small
129,TU SOAPSTONE 01,Small
130,CW EM12K 28,Small
131,TT 309/309L 06,Small
132,WA H800-TC,Small
133,TCU AB 17,Small
134,WA H800D-TC,Small
135,TN NI-182 01,Small
136,TT 308/308L 03,Small
137,TC 120S-1 17,Small
138,TE 6013 03,Small
139,THF 600 173,Small
140,THF 700HT 173,Small
141,TT 70S-2 07,Small
142,TS316L-SI 173,Small
143,TB 5356 06,Small
144,TU ERTI-2/06,Small
145,TCU NB/07,Small
146,TS 316L 173,Small
147,TCU SB 17,Small
148,TC 110S-1 17,Small
149,TC 70S-2 093,Small
150,TC 70S-6 23,Small
151,TE 11018M 02,Small
152,TN NI-55 02,Small
153,TA 5356 237,Small
154,TN 82/05,Small
155,TU TENSL 02,Small
156,TN 82/06,Small
157,TE 7018 011,Small
158,TT 308/308L 07,Small
159,TCU SB/06,Small
160,TE 6022 03,Small
161,TC 70S-2 18,Small
162,TU ERTI-2/05,Small
163,TC 120S-1 27,Small
164,TC 70S-6 24,Small
165,TS 409CB 093,Small
166,TW 71T-11 081,Small
167,TC 70S-6 064,Small
168,TTU GL/T 05,Small
169,TT 70S-6 07,Small
170,CW 71T-12MJ 243,Small
171,TC 70S-6 09IT,Small
172,WA H855D-TC,Small
173,TC 70S-3 104,Small
174,TCF 71T-1 093M,Small
175,TC 70S-6 26,Small
176,TE 7018 04,Small
177,TC 70S-6 17IT,Small
178,CSF-71T 26,Small
179,TB 4043 04,Small
180,TC EAGLE-ARC 980X 05,Small
181,TE 7018A1 02,Small
182,TT 316/316L 03,Small
183,TCU DEOX 17,Small
184,TS 316L 08,Small
185,TF 330-16 02,Small
186,TW GASLESS WIRE 093,Small
187,TCF 71T-1 24M,Small
188,TCU LFB 05,Small
189,TAG 5 06F,Small
190,TC 120S-1 09,Small
191,TAG 15 06B,Small
192,TCU NS/10,Small
193,TS 316L 05,Small
194,CSF-71T NB 163,Small
195,TCU NS/09,Small
196,TN C276 09,Small
197,TN NI-182 02,Small
198,TA 4043 235,Small
199,TCC EAGLE-ARC 719 20,Small
200,TC 100S-1 09,Small
201,TF308L-16 03P,Small
202,TAG 56CF 25,Small
203,TS308L-SI 05,Small
204,TN C276/05,Small
205,TCC NSSW SF-1A 24,Small
206,TE 6013 022,Small
207,TSF 309L EAGLE 16,Small
208,TCU LFB/09,Small
209,TC 70S-6 19R,Small
210,TFT 308L 06,Small
211,TC 70S-6 10K,Small
212,TAG 30CF 28,Small
213,TN 67/05,Small
214,TCF 81T1-NI2 24,Small
215,TT 308/308L 02,Small
216,TE 7018 02N,Small
217,TA 4043 04,Small
218,CW EM12K 299,Small
219,TF 310-16 02,Small
220,TT 90S-B3 06,Small
221,TC 80S-D2 17,Small
222,TE 6011 04,Small
223,TU ERTI-2/04,Small
224,TC 70S-6 033,Small
225,TCC EAGLE-ARC 719 21,Small
226,TST 316LT1-5 05,Small
227,TE 6011 011,Small
228,CW 70S-6 093,Small
229,TC 70S-6 07,Small
230,TT 80S-D2 05,Small
231,TC 70S-6 09K,Small
232,CW EM12K 25,Small
233,MOG 70S-6 184,Small
234,TT 70S-2 03,Small
235,TE 7014 04,Small
236,TN NI-112 01,Small
237,TC 80S-B2 17,Small
238,TAG 0 09,Small
239,TC 70S-6 123K,Small
240,TN 625/03,Small
241,TT 309/309L 04,Small
242,TSF 308LT1-1 093,Small
243,TN 99 16,Small
244,TS308L-SI 121,Small
245,TG G/C 05,Small
246,TE 6010 01,Small
247,CSF-71T 22,Small
248,WAG 70S-6 08,Small
249,TC 70S-3 093,Small
250,TSF 308L EAGLE 24,Small
251,TT 320LR 06,Small
252,TC 70S-3 06,Small
253,TTU GL/T 06,Small
254,TT 80S-D2 04,Small
255,TS 309L 08,Small
256,TSF 316LT1-1 093,Small
257,TE 8018B2 02,Small
258,TN C276 17,Small
259,TT 70S-6 04,Small
260,TN C22 09,Small
261,TSF 2209T1-1 243,Small
262,TCU LFB/11,Small
263,TH 700 03,Small
264,TFT 316L 06,Small
265,TT 2209 06,Small
266,TT 320LR 05,Mini
267,TS308L-SI 063,Mini
268,TN 625 09,Mini
269,TN 99 09A,Mini
270,TFT 308L 05,Mini
271,TE 7014 01,Mini
272,TU 959T/05,Mini
273,TSF 310T1-1 173,Mini
274,TM NI-99 02,Mini
275,TB 5356 04,Mini
276,TGC 308L 06,Mini
277,TE 7018H4R 02P,Mini
278,TCF 71T-1 233M,Mini
279,TNF 625FC 173,Mini
280,TT 317L 06,Mini
281,TT 80S-B2 06,Mini
282,TN NI-99 01,Mini
283,TCU LFB/10,Mini
284,TU AL345 01,Mini
285,TN 55 17,Mini
286,CSF-71T 15,Mini
287,TF316L-16 03P,Mini
288,TCU LFB/06,Mini
289,TT 2209 05,Mini
290,TC 70S-6 04,Mini
291,TE 6013 011,Mini
292,TE 8018C3 02U,Mini
293,TC 70S-6 17K,Mini
294,TCU SB 06,Mini
295,TS308L-SI 223,Mini
296,TA 5356 085,Mini
297,TS 308L 063,Mini
298,WA TH 05T 100,Mini
299,TH 700 02,Mini
300,TN 82 09,Mini
301,TS309L-SI 121,Mini
302,TCU LFB/05,Mini
303,YTE 7018 03,Mini
304,TF 310-16 01,Mini
305,WAG 70S-6 05,Mini
306,CW EM12K 27,Mini
307,TT 17-4 PH 04,Mini
308,TW GASLESS WIRE 173,Mini
309,TS 308L 02,Mini
310,TSF 2209T1-1 173,Mini
311,TT 317L 05,Mini
