Inventory ID,Description,Item Group
CSF-71LF 15,"E71T-1C/1M, 9C/9M BAKED .045 X 15 LB SPOOL",
CSF-71LF 15,"E71T-1C/1M, 9C/9M BAKED .045 X 15 LB SPOOL",
CSF-71LF 15,"E71T-1C/1M, 9C/9M BAKED .045 X 15 LB SPOOL",
CSF-71LF 22,"E71T-1C/1M, 9C/9M BAKED .052 X 15 LB SPOOL",
CSF-71LF 22,"E71T-1C/1M, 9C/9M BAKED .052 X 15 LB SPOOL",
CSF-71LF 22,"E71T-1C/1M, 9C/9M BAKED .052 X 15 LB SPOOL",
CSF-71LF 23,"E71T-1C/1M, 9C/9M BAKED .052 X 33 LB SPOOL",
CSF-71LF 25,"E71T-1C/1M, 9C/9M BAKED 1/16 X 15 LB SPOOL",
CSF-71T 13,*SAMPLE E71T-1C/1M BAKED .045 X 6.6 LB SPOOL,
CSF-71T 13,*SAMPLE E71T-1C/1M BAKED .045 X 6.6 LB SPOOL,
CSF-71T 15,E71T-1C/1M .045 X 15 LB SPOOL BAKED,
CSF-71T 15,E71T-1C/1M .045 X 15 LB SPOOL BAKED,
CSF-71T 163,E71T-1C/1M .045 X 33 LB SPOOL BAKED,
CSF-71T 163,E71T-1C/1M .045 X 33 LB SPOOL BAKED,
CSF-71T 163,E71T-1C/1M .045 X 33 LB SPOOL BAKED,
CSF-71T 163,E71T-1C/1M .045 X 33 LB SPOOL BAKED,
CSF-71T 163,E71T-1C/1M .045 X 33 LB SPOOL BAKED,
CSF-71T 17,E71T-1C/1M .045 X 44 LB SPOOL BAKED,
CSF-71T 17,E71T-1C/1M .045 X 44 LB SPOOL BAKED,
CSF-71T 20,*SAMPLE E71T-1C/1M BAKED .052 X 6.6 LB SPOOL,
CSF-71T 22,E71T-1C/1M .052 X 15 LB SPOOL BAKED,
CSF-71T 22,E71T-1C/1M .052 X 15 LB SPOOL BAKED,
CSF-71T 22,E71T-1C/1M .052 X 15 LB SPOOL BAKED,
CSF-71T 23,E71T-1C/1M .052 X 33 LB SPOOL BAKED,
CSF-71T 23,E71T-1C/1M .052 X 33 LB SPOOL BAKED,
CSF-71T 23,E71T-1C/1M .052 X 33 LB SPOOL BAKED,
CSF-71T 234,E71T-1C/1M .052 X 44 LB SPOOL BAKED,
CSF-71T 24,E71T-1C/1M 1/16 X 33 LB SPOOL BAKED,
CSF-71T 24,E71T-1C/1M 1/16 X 33 LB SPOOL BAKED,
CSF-71T 24,E71T-1C/1M 1/16 X 33 LB SPOOL BAKED,
CSF-71T 24,E71T-1C/1M 1/16 X 33 LB SPOOL BAKED,
CSF-71T 244,E71T-1C/1M 1/16 X 44 LB SPOOL BAKED,
CSF-71T 244,E71T-1C/1M 1/16 X 44 LB SPOOL BAKED,
CSF-71T 25,E71T-1C/1M 1/16 X 15 LB SPOOL BAKED,
CSF-71T 25,E71T-1C/1M 1/16 X 15 LB SPOOL BAKED,
CSF-71T 26,E71T-1C/1M 1/16 X 550 LB SPOOL BAKED,
CSF-71T NB 13,E71T-1C/1M NON-BAKED 045 X 6.6 LB SPOOL,
CSF-71T NB 13,E71T-1C/1M NON-BAKED 045 X 6.6 LB SPOOL,
CSF-71T NB 163,.045 X 33 LBS SPOOL 71T-1C/1M NON-BAKED,
CSF-71T NB 163,.045 X 33 LBS SPOOL 71T-1C/1M NON-BAKED,
CSF-71T NB 17,E71T-1C/1M NON-BAKED 045 X 44 LB SPOOL,
CSF-71T NB 17,E71T-1C/1M NON-BAKED 045 X 44 LB SPOOL,
CSF-71T NB 236,"E71T-1C/1M NON-BAKED 1/16"" X 6.6 LB SPOOL",
CSF-71T NB 244,"E71T-1C/1M NON-BAKED 1/16"" X 44 LB SPOOL",
CSF-71T NB 244,"E71T-1C/1M NON-BAKED 1/16"" X 44 LB SPOOL",
CW 308L 04,"TGC-308L (ER308L) 1/16 X 39""",
CW 308L 05,"TGC-308L (ER308L) 3/32 X 39""",
CW 308L 05,"TGC-308L (ER308L) 3/32 X 39""",
CW 308L 06,"TGC-308L (ER308L) 1/8 X 39""",
CW 308L 06,"TGC-308L (ER308L) 1/8 X 39""",
CW 308L 07,"TGC-308L (ER308L) 5/32 X 39""",
CW 308L-16 02,E308L-16 1/8,
CW 309L 04,"TGC-309L (ER309L) 1/16 X 39""",
CW 309L 05,"TGC-309L (ER309L) 3/32 X 39""",
CW 309L 06,"TGC-309L (ER309L) 1/8 X 39""",
CW 309L 07,"TGC-309L (ER309L) 5/32 X 39""",
CW 309L-16 02,E309L-16 1/8,
CW 316L 04,"TGC-316L (ER316L) 1/16 X 39""",
CW 316L 05,"TGC-316L (ER316L) 3/32 X 39""",
CW 316L 05,"TGC-316L (ER316L) 3/32 X 39""",
CW 316L 06,"TGC-316L (ER316L) 1/8 X 39""",
CW 316L 06,"TGC-316L (ER316L) 1/8 X 39""",
CW 316L 07,"TGC-316L (ER316L) 5/32 X 39""",
CW 316L 244,TGC-316L (ER316L) 1/16 X 44 LB SPOOL,
CW 316L-16 02,E316L-16 1/8,
CW 6010 02,E6010 1/8,
CW 6011 02,E6011 1/8,
CW 7018 01,E7018 3/32,
CW 7018 01,E7018 3/32,
CW 7018 02,E7018 1/8,
CW 7018 02,E7018 1/8,
CW 7018 03,E7018 5/32,
CW 7018 03,E7018 5/32,
CW 7018 04,"E7018 3/16""",
CW 7018 04,"E7018 3/16""",
CW 7018-1 H4R 01,E7018-1 H4R 3/32,
CW 7018-1 H4R 02,E7018-1 H4R 1/8,
CW 7018-1 H4R 03,E7018-1 H4R 5/32,
CW 7018-1 H4R 04,E7018-1 H4R 3/16,
CW 7018-1 H4R 048,E7018-1 H4R 7/32,
CW 7018H4R 02,E7018 H4R 1/8,
CW 7018H4R 04,E7018 H4R 3/16,
CW 7018H4R 048,E7018 H4R 7/32,
CW 70S-6 093,MC-50T(ER70S-6) .035 X 33 LB SPOOL,
CW 70S-6 093,MC-50T(ER70S-6) .035 X 33 LB SPOOL,
CW 70S-6 093,MC-50T(ER70S-6) .035 X 33 LB SPOOL,
CW 70S-6 173,MC-50T(ER70S-6) .045 X 33 LB SPOOL,
CW 70S-6 173,MC-50T(ER70S-6) .045 X 33 LB SPOOL,
CW 71T-12MJ 173,CSF-71SRM(E71T-12MJ) .045 X 33 LB SPOOL,
CW 71T-12MJ 173,CSF-71SRM(E71T-12MJ) .045 X 33 LB SPOOL,
CW 71T-12MJ 173,CSF-71SRM(E71T-12MJ) .045 X 33 LB SPOOL,
CW 71T-12MJ 173,CSF-71SRM(E71T-12MJ) .045 X 33 LB SPOOL,
CW 71T-12MJ 243,CSF-71SRM(E71T-12MJ) 1/16 X 33 LB SPOOL,
CW 71T-12MJ 243,CSF-71SRM(E71T-12MJ) 1/16 X 33 LB SPOOL,
CW 71T-12MJ 243,CSF-71SRM(E71T-12MJ) 1/16 X 33 LB SPOOL,
CW 71T-12MJ 243,CSF-71SRM(E71T-12MJ) 1/16 X 33 LB SPOOL,
CW CA-101S,FluxForSS(CA-101S) 44 LB CAN,
CW CA-101S,FluxForSS(CA-101S) 44 LB CAN,
CW CA-101S,FluxForSS(CA-101S) 44 LB CAN,
CW CA-101S,FluxForSS(CA-101S) 44 LB CAN,
CW EM12K 25,UC12K(EM12K) 1/16 X 44 LB SPOOL,
CW EM12K 25,UC12K(EM12K) 1/16 X 44 LB SPOOL,
